clean_text,target_label,predicted_label,raw_response,correct
"2017-09-06 21 13 00 pr comerio flood warning -- flood warning issued for comerio, san juan, aguas,",Situational Awareness,Situational Awareness,Situational Awareness,True
sevabharathi volunteers rescue woman and children in kerala flood neck-deep water - report 29. 8. 18,Volunteering and Donations,Critical Rescue,Critical Rescue,False
"political blame game has started in kerala opposition leaders including say keralafloods is man-made disaster that release of waters was delayed and warnings were not given causing loss of life and property govt says no delay, they went by imd warnings",Irrelevant,Irrelevant,Irrelevant,True
"in the wake of the debilitating tropical cycloneidai an elderly woman from highfields, harare made headlines after she walked from her residence to the highlands presbyterian church to drop off assorted relief items to cyclone victims.",Volunteering and Donations,Situational Awareness,Situational Awareness,False
"send military to distribute diesel, water and food in pr now. humanitariancrisispr hurricanemaria huracanmariapr",Resource Requests,Resource Requests,Resource Requests,True
breaking at least 5 people are dead at the rehabilitation center nursing home in hollywood fl after air cond. outage following irma.,Critical Rescue,Situational Awareness,Situational Awareness,False
"everyone took dorian as a joke but it was just strategizing waiting for us to waste all our water, food, and gas, and now its really coming to fck shit up",Irrelevant,Situational Awareness,Situational Awareness,False
this is all a ruse trying to con the public to help billionaire loggers access to our forests by making us pay for access roads into those forests. google zinke logging industry california wildfires.,Irrelevant,Irrelevant,Irrelevant,True
"hurricane dorian intensifying, accg has provided some emergency preparedness resources on our website at . remember to notify the accg claims office if your county has any damage.",Situational Awareness,Situational Awareness,Situational Awareness,True
bought all this food and water and dorian barely hitting miami ὤ3,Irrelevant,Situational Awareness,Situational Awareness,False
"the floods in kerala evoked memories of hemingways oldman and the sea our fishermen had many lessons for all the indomitable spirit of santiago, attitude towards life the fight with the floods and keep the boat afloat keralafloods standwithkerala",Irrelevant,Situational Awareness,Situational Awareness,False
"rt wildfire update, may 16, - workers north of ymm under controlled precautionary evacuation ymmfire",Critical Rescue,Critical Rescue,Critical Rescue,True
help uta students affected by harvey by giving to emergency assistance fund - . all proceeds go to students in need.,Resource Requests,Volunteering and Donations,Volunteering and Donations,False
"great work by the again today c17, c130, a400m, voyager and puma supporting the effort delivering aid irma",Volunteering and Donations,Volunteering and Donations,Volunteering and Donations,True
"the , and all work 15 mins from pedernales. we are coordinating relief. ecuadorearthquake",Volunteering and Donations,Volunteering and Donations,Volunteering and Donations,True
where are the alllivesmatter advocates now? enjoying the holiday with family and friends while latinos have no choice other than to harvest the food you eat for slave wages at great risk to their health or their kids will starve.,Irrelevant,Irrelevant,Irrelevant,True
"its going to be shitty! seriously though, this is a nightmare. lagoons of liquid pig waste will be flooded and then distributed to rivers and groundwater. related highly recommend reading pig tales by",Irrelevant,Situational Awareness,Situational Awareness,False
fuck this. presenting this quote without the added context of there actually being three thousand deaths is journalistic malpractice.,Critical Rescue,Irrelevant,Irrelevant,False
"a heart filled thank you to our team in d51, as well as the pac north, and hd family across the western division and this great company for the thoughts, prayers and outpouring of support during the camp fire. we really appreciate it. pacnorthproud paradisestrong",Situational Awareness,Situational Awareness,Situational Awareness,True
please spread the word that chimanimani hotel is a safe haven for those who are stranded. we dont have a lot but we can offer shelter to those who need it. call or sms mandla mataure on 0775541329 chimanimanicyclone cycloneidai cycloneidaiupdate,Resource Requests,Volunteering and Donations,Volunteering and Donations,False
