id,message,original,genre,event,split,target_label,clean_text,text_length,word_count
44,"We have a lot of problem at Delma 75 Avenue Albert Jode, those people need water and food.",We have a many probleme a baout delmas 75 aveny albert jode the pepole need some weater some food and medcin Iwat my name rejinald,direct,haiti_earthquake,training,Resource Requests,"we have a lot of problem at delma 75 avenue albert jode, those people need water and food.",90,18
45,"I'm here, I didn't find the person that I needed to send the pant by phone",Mwen la moun poum te voye pantalon mwen pa jwenn yo pa telefon,direct,haiti_earthquake,training,Irrelevant,"i'm here, i didn't find the person that i needed to send the pant by phone",74,16
46,People have been sleeping outdoors in a field near Lilavois since 12 Jan. No coords on Lilavois but apparently it is near PaP,ofit des habitants qui dorment a la belle etoile sur le terrain de Lilavois depuis le 12 janvier.,direct,haiti_earthquake,training,Irrelevant,people have been sleeping outdoors in a field near lilavois since 12 jan. no coords on lilavois but apparently it is near pap,125,23
47,"We want you to know that Carrefour need help, we starving to death.",koufou poko jwenn ankenn ed nap mouri grangou men nou gen dlo ok.,direct,haiti_earthquake,training,Resource Requests,"we want you to know that carrefour need help, we starving to death.",67,13
50,I would like to get help at Cote Plage in Carrefour,Mwen ta renmen yo vizite cote plage carrefour,direct,haiti_earthquake,training,Situational Awareness,i would like to get help at cote plage in carrefour,51,11
51,"I am in Leoganes, where can I get food? Please",mwen leyogan ki kote ki gen manje tanpri,direct,haiti_earthquake,training,Resource Requests,"i am in leoganes, where can i get food? please",46,10
52,"The Comite Miracle in the area of Alerte Rue Monseigneur Guilloux, ( Streets, Alerte and the cross street is Mgr Guilloux ) would like to urgently receive food, water and tents for the people in that area. Thanks",komite mirak ki tabli nan zone alerte mgr guilloux ta renmen resevwa prese prese dlo manje ak tant pou moun nan zone nan,direct,haiti_earthquake,training,Resource Requests,"the comite miracle in the area of alerte rue monseigneur guilloux, streets, alerte and the cross street is mgr guilloux would like to urgently receive food, water and tents for the people in that area. thanks",208,36
53,"People from Dal blocked since Wednesday in Carrefour, we having water shortage, food and medical assistance.",moun sou dal blok fo mekredi nan kfou fy gen pwoblem dlo manje remed,direct,haiti_earthquake,training,Situational Awareness,"people from dal blocked since wednesday in carrefour, we having water shortage, food and medical assistance.",108,16
54,"In Jacmel it's not working at all, because people are dying of hunger.",n jakmel sa pa mache ditou paske moun yo ap mouri grangou,direct,haiti_earthquake,training,Situational Awareness,"in jacmel it's not working at all, because people are dying of hunger.",70,13
56,We have no one everybody is dead.,nou a gen peson tout moun mouri,direct,haiti_earthquake,training,Critical Rescue,we have no one everybody is dead.,33,7
57,"We don't talk about Petit-Goave, Please, look into Petit-Goave.",Nou pa janm pale de tigwav otorite yo voye je nou sou tigwav se chausler st jean.,direct,haiti_earthquake,training,Situational Awareness,"we don't talk about petit-goave, please, look into petit-goave.",63,9
60,"People in Fontamara 27 in impass area Pierre Louis having lots of difficulties, please help, ASAP.",moun fontamara 27 zon impass pierre louis nan problem. sos.,direct,haiti_earthquake,training,Irrelevant,"people in fontamara 27 in impass area pierre louis having lots of difficulties, please help, asap.",98,16
61,"Good evening, I congratulate you for all the good work and with strenght i'm listening from Matisan 1, we have water and food shortage but God provided his grace upon us.",Bonswa mwen felisite nou pou bon travay sa malgre tou kouraj map kouten matisan 1 nou gen problem mange ak dlo men bondye te fe nou gras,direct,haiti_earthquake,training,Resource Requests,"good evening, i congratulate you for all the good work and with strenght i'm listening from matisan 1, we have water and food shortage but god provided his grace upon us.",170,31
62,how can we find aid and food in fontamara ( carrefour ),Koman nou ka jwenn sekou ak manje nan fontamara 43 ru menos cite la bel,direct,haiti_earthquake,training,Resource Requests,how can we find aid and food in fontamara carrefour,51,10
63,"Am listening to radio in Jacmel. Need help to remove dead bodies at Colege la Trinite-universite, the bodies are the professors and students","Mwen ap koute radyo wa jakmel map pou vini ede nou retire kadav anba dekonb kolj La trinite ki te loje inivsite inasmo, kadav yo se etidyan ak pwofes t",direct,haiti_earthquake,training,Critical Rescue,"am listening to radio in jacmel. need help to remove dead bodies at colege la trinite-universite, the bodies are the professors and students",140,23
64,People from Jacmel are requesting a tractor in that area because there is a civil unrest and social disturbance in that area.,"MOUN JACMEL YO MANDE POU ENSTANS KONSENE YO VOYE YON TRAKTER NAN WOUT JACMEL LA, PASKE GEN ANPIL DEZOD SOU SA A ( MARCELIN JEAN DEPI JACMEL )",direct,haiti_earthquake,training,Irrelevant,people from jacmel are requesting a tractor in that area because there is a civil unrest and social disturbance in that area.,125,22
65,Im asking a general prayer for the country of Haiti.,MWEN MANDE YON JEN NASYONAL POU PEYI A,direct,haiti_earthquake,training,Irrelevant,im asking a general prayer for the country of haiti.,52,10
66,"We are at KF Marotiere 85, we have food and water shortage, please send food for us.",Nou nan kf maroty 85 nou pa gen dlo val anvayi nou voye manje manje pou nou tanpri bay mesaj la,direct,haiti_earthquake,training,Resource Requests,"we are at kf marotiere 85, we have food and water shortage, please send food for us.",84,17
67,I'm listening to you at Miraguan we asking the government to take change because one gallon gas is 80.,MWEN AP KOUTE NOU MIRAGWAN NOU AP MANDE POU RESPONSAB YO PRAN YON DESIZYON NAN MOMAN NOU YE LA A GALON GAZOLINE AP VANN 8O DOLA.,direct,haiti_earthquake,training,Irrelevant,i'm listening to you at miraguan we asking the government to take change because one gallon gas is 80.,102,19
70,I am listening to radio wa in jacmel. I am asking for help to remove the dead bodies under La trinite college situated at university inasmo. The dead bodies are those of students and teachers,"Mwen ap koute radyo wa jakmel map mande pou vini ede nou retire kadav anba dekonb kolj La trinite ki te loje inivsite inasmo, kadav yo se etidyan ak pwo",direct,haiti_earthquake,training,Critical Rescue,i am listening to radio wa in jacmel. i am asking for help to remove the dead bodies under la trinite college situated at university inasmo. the dead bodies are those of students and teachers,191,35
71,In which transfert house does someone abroad has to go to send money to haiti,nan Ki mezon transf yon moun ki a letranje ka itilise pou voye lajan pou yon fanmi li ki an ayiti?,direct,haiti_earthquake,training,Irrelevant,in which transfert house does someone abroad has to go to send money to haiti,77,15
73,"For your information, There are people that are found in the rubbles of the School of Trinite, ( L'Ecole Sainte Trinite ) in Jacmel. Cookies brought to them by Colombian dogs are keeping them alive.","Pou infomasyon juska pwesent genyen moun yo touve aba decon nen lekol latrinite nan jakmel, se chien colombien ki pote bonbon nan bouche yo bay moun sa yo",direct,haiti_earthquake,training,Resource Requests,"for your information, there are people that are found in the rubbles of the school of trinite, l'ecole sainte trinite in jacmel. cookies brought to them by colombian dogs are keeping them alive.",194,33
74,When can we get some help in Jacmel?,Kil nou ka jwenn asistans nan jakml,direct,haiti_earthquake,training,Situational Awareness,when can we get some help in jacmel?,36,8
80,.. .. . we are here our mother has no more water. if you are there let us know ( location not provided ),MLT KK LWE ESKE NOU LA MANMAN NOU PAGEN DLO ANK SILA FL KON,direct,haiti_earthquake,training,Resource Requests,.. .. . we are here our mother has no more water. if you are there let us know location not provided,100,22
81,People needing water with baby Location : Beach 24,Gen ampil pwoblem nan kot plaj 24 nou ta renmen jwen dlo gen ti bebe kap soufri nou gen 3 jou konsa,direct,haiti_earthquake,training,Resource Requests,people needing water with baby location beach 24,48,8
82,"help is needed in fond parisien, no idea where that is, but any haitian can tell you",san panse pou fonparisyen vin kapital peyia?gerbens,direct,haiti_earthquake,training,Irrelevant,"help is needed in fond parisien, no idea where that is, but any haitian can tell you",84,17
83,"We're asking for water, medical supply, food","Nap mande tout ganizasyon kap bay d yo, nan kwadbouk pli presizeman nan lokalite nwal, ki pa gen dlo, mange, medikamen depi li seys la pase a.",direct,haiti_earthquake,training,Resource Requests,"we're asking for water, medical supply, food",44,7
84,"My home is at Gressier, it has almost collapsed. I would like to distroy it before it collapses completly.",Kay mwen nan gresi pri tomb mwen ta renmen metel ati avan l tomb,direct,haiti_earthquake,training,Resource Requests,"my home is at gressier, it has almost collapsed. i would like to distroy it before it collapses completly.",106,19
85,would like to know where food and water are being distributed. ( location not provided ),Mwen ta renmen konnen ki kote nou ka jwenn yon ti dlo moun ka bw ak yon ti ed manje pou yon group moun ki grangou. Mesi,direct,haiti_earthquake,training,Irrelevant,would like to know where food and water are being distributed. location not provided,84,14
86,"i am very happy, i hear god, religious hyme",Mwen tre kontan li mwen tande bondye fe ou la mwen ap diw demi deyi anba pwela pou seren leswa,direct,haiti_earthquake,training,Irrelevant,"i am very happy, i hear god, religious hyme",43,9
90,He is a pastor and an interpreter seeking to help response teams.,I am an interpreter I am really to give my help. So today I was at the airport but I am sorry because there was no way. My name is Gerard Derice. I am pastor.,direct,haiti_earthquake,training,Irrelevant,he is a pastor and an interpreter seeking to help response teams.,65,12
91,we have problem at Paco Lazon this is General Police Department we want you to know we almost out of food and water.,Nou gen pwoblem nan paco la zon Direksyon General Police sove nou paske mange ak dlo nou ap fini et nou bezwen lot swen sante secours SVP!,direct,haiti_earthquake,training,Resource Requests,we have problem at paco lazon this is general police department we want you to know we almost out of food and water.,116,23
92,We are in Sainte Bernadette. There are 2 areas that have not received anything. We are buying water ( warm ) for 5 gourdes.,nou nan st banadt nan fem nou se2 kote ki pako jwenn anyen nap ht 1sache dlo cho pr 5g andanw,direct,haiti_earthquake,training,Resource Requests,we are in sainte bernadette. there are 2 areas that have not received anything. we are buying water warm for 5 gourdes.,119,22
94,I would like to communicate with my family I don I t have any minutes on my cell phone please help,"Mwen ta renmen kominike ak fanmi mwen, men mwen pagen kat sou telefon mwen",direct,haiti_earthquake,training,Situational Awareness,i would like to communicate with my family i don i t have any minutes on my cell phone please help,98,21
95,some people are sleeping outside on a field at Lilavois 50 and are dying of hunger since January 12th.,fit des habitants qui dorment a la belle etoile sur le terrain de Lilavois 50 et qui meurent de faim depuis le 12 janvier.,direct,haiti_earthquake,training,Critical Rescue,some people are sleeping outside on a field at lilavois 50 and are dying of hunger since january 12th.,102,19
96,Friend I dont know what is going on with you for I hear of what is going on but i have not hear any news about you. I hear what happen Carrefour and petion-Ville,"Kamarad, mwen pa konn sak pase ou menn. paske mwen pa pran nouvel ou. Mwen tande sak pase Kafou, Delma ak Petyon Vil. Mwen pa konn si lot kamarad yo vik",direct,haiti_earthquake,training,Irrelevant,friend i dont know what is going on with you for i hear of what is going on but i have not hear any news about you. i hear what happen carrefour and petion-ville,161,34
97,"i'm asking for help to this valley especially Santo, Sath, B","MWEN MANDE POU D YO RIVE NAN PLENN NAN TOU SI TOU NAN SANTO, SATH, B",direct,haiti_earthquake,training,Situational Awareness,"i'm asking for help to this valley especially santo, sath, b",60,11
100,a lot and we don't have any news of him. We haven't even found a body so we could at least know he is dead. The hospitals need to be checked and the registry books also. Please help us!! ( This seems to be the end of another message ),"anpil E nou pa gen oken nouvel li, menm ke a nou pa jwenn o mwen nou ta di li mouri. F yo verifye nan lopital yo, sitou nan kaye rejis yo. Mesi. Ede n svp",direct,haiti_earthquake,training,Situational Awareness,a lot and we don't have any news of him. we haven't even found a body so we could at least know he is dead. the hospitals need to be checked and the registry books also. please help us!! this seems to be the end of another message,230,48
101,"We have a big problem in Jacmel, we left Port-au-Prince without food, clothes and money. we are really in a critical situation.","Nou gen gwo pwoblem nan jakmel, espesyalman nan kok chant paske nou siti potopwens san rad, san manje, san kob. nou vrman nan yon siyasyon tre kritik. nou ta",direct,haiti_earthquake,training,Resource Requests,"we have a big problem in jacmel, we left port-au-prince without food, clothes and money. we are really in a critical situation.",127,22
102,We would like to receive some help in the Section Communale. There is a lot of violence.,renmen pou yo ta fe yon bagay pou nou nan seksyon kominal yo. se te Bichet depi kek chant.,direct,haiti_earthquake,training,Situational Awareness,we would like to receive some help in the section communale. there is a lot of violence.,88,17
103,I would like to know how food is distributed.,J aimerais savoir les piste de distribution.,direct,haiti_earthquake,training,Irrelevant,i would like to know how food is distributed.,45,9
105,I can play carnaval Anbasad Camp there I think this is a simple comment about a creole rap group - Anbasad Camp. Does not refer to location or read as a cry for help. TK,M ka jwen kanaval anbasad camp lan,direct,haiti_earthquake,training,Irrelevant,i can play carnaval anbasad camp there i think this is a simple comment about a creole rap group - anbasad camp. does not refer to location or read as a cry for help. tk,169,35
106,A cold front is found over Cuba this morning. It could cross Haiti tomorrow. Isolated rain showers are expected over our region tonight.,Un front froid se retrouve sur Cuba ce matin. Il pourrait traverser Haiti demain. Des averses de pluie isolee sont encore prevues sur notre region ce soi,direct,haiti_earthquake,training,Situational Awareness,a cold front is found over cuba this morning. it could cross haiti tomorrow. isolated rain showers are expected over our region tonight.,136,23
107,ples give us cell cards ( cell phone minuts ) we cannot find cell phone cards to buy,Vou kat pou mwen mesi davance digi pake nou pa ka jenn kat achete.,direct,haiti_earthquake,training,Irrelevant,ples give us cell cards cell phone minuts we cannot find cell phone cards to buy,80,16
110,"Please we need help, food and toiletries.",KI KRAZE. TAMPRI NOU BEZWEN ED MANJE AK ATIK POU TWALFT ELATRYE. D,direct,haiti_earthquake,training,Resource Requests,"please we need help, food and toiletries.",41,7
111,A weather forcast. . of a cold front in cuba and could pass through haiti by night..,Un front froid se retrouve sur Cuba ce matin. Il pourrait traverser Haiti demain. Des averses de pluie isolee sont encore prevues sur notre region ce soi,direct,haiti_earthquake,training,Irrelevant,a weather forcast. . of a cold front in cuba and could pass through haiti by night..,84,17
112,"food water mediacation, we dont have tents to protect our selves, i am using my cistern. lovation not provided","e, dlo, medikaman, n pa gen tant pou protegenn kont soley ak lapli. Genyen anpil lot fanmi ki afekte m pa konnen effectif la vrman. tanpri si n resevwa me",direct,haiti_earthquake,training,Resource Requests,"food water mediacation, we dont have tents to protect our selves, i am using my cistern. lovation not provided",110,19
113,good people help us. god bless you and us too,saj sa ede nou. God bless you and us too.,direct,haiti_earthquake,training,Irrelevant,good people help us. god bless you and us too,45,10
114,"The ADJS group house in Jacmel. They are talking with people in the southeast. There are a lot of victims and people suffering, especially in Jacmel. Something about an entire house collapsing. The road sot pop in Jacmel is cut off.","Gwoup, AJDS kay jakmel, pa dande nou pale d sides ditou, nou viktim anpil, sitou vil jakmel gaya pa ret kay ank kay jakmel rout sot pop, a jakmel la koupe",direct,haiti_earthquake,training,Critical Rescue,"the adjs group house in jacmel. they are talking with people in the southeast. there are a lot of victims and people suffering, especially in jacmel. something about an entire house collapsing. the road sot pop in jacmel is cut off.",232,41
115,This is a request that the aid services not forget the south-east region because there are a lot of victims and people suffering there. A number is given.,nap mande poun pa bliye sides la paske nou viktim anpil. 6515O96,direct,haiti_earthquake,training,Irrelevant,this is a request that the aid services not forget the south-east region because there are a lot of victims and people suffering there. a number is given.,154,28
117,Where can people in Fort Mercredi can find food and water?,ki kote mounn fort mercredi ka jwenn dlo ak manje?,direct,haiti_earthquake,training,Resource Requests,where can people in fort mercredi can find food and water?,58,11
120,whos next to fort mercredi i would like food and water please,KI KOTE MOUNN FORT MERCREDI KA JWENN DLO AK MANJE. PLEASE,direct,haiti_earthquake,training,Resource Requests,whos next to fort mercredi i would like food and water please,61,12
121,The wounded in the Saint Michely hospital have no medicine. (This looks like part of a message that got cut off),"kiblese yo, nan lakou lopital saint michel yo pagen medikaman, yap m",direct,haiti_earthquake,training,Resource Requests,the wounded in the saint michely hospital have no medicine. this looks like part of a message that got cut off,110,21
122,"We are about 500 people. We're in Martissant 23, Village Dantes. God bless you.","onn effectif la pou zonn nan men nou ka anviron 500. Tanpri eden nou nan martisan 23, village dantes. God bless you and us.",direct,haiti_earthquake,training,Situational Awareness,"we are about 500 people. we're in martissant 23, village dantes. god bless you.",79,14
123,"Digicel let me go through, it's an emergency",D. igicel kitem pase se yon urgeence,direct,haiti_earthquake,training,Irrelevant,"digicel let me go through, it's an emergency",44,8
124,Where can I find Capital Bank please?,ki adres nou ka jwenn kapital bank silvouple,direct,haiti_earthquake,training,Irrelevant,where can i find capital bank please?,37,7
125,We are in Plaine du Cul-de-sac. Where's the nearest food distribution?,Nou laplan di kildesak ki ba yap bay dlo ak manje.,direct,haiti_earthquake,training,Irrelevant,we are in plaine du cul-de-sac. where's the nearest food distribution?,70,11
126,I am listening to Radio Dabon. We need help and doctors in that area. We are unable to move around because we have no gas. Dabon is located close to Leogane.,"Map koute radyo Dabon, map made s. o. s poun ka jwenn dokt nan zon sa yo paske mwayen deplasman difisil paske pa gen gaz.",direct,haiti_earthquake,training,Resource Requests,i am listening to radio dabon. we need help and doctors in that area. we are unable to move around because we have no gas. dabon is located close to leogane.,157,31
127,"The message might be saying that they have been stuck in the presidential palace ( pal ) since the same Tuesday ( as the quake ). They need water. The message says they are not finding a little water. No names, no number of people given.",Bonjou nou nan paldela depi madi menm yon ti dlo nou pa jwenn,direct,haiti_earthquake,training,Resource Requests,"the message might be saying that they have been stuck in the presidential palace pal since the same tuesday as the quake . they need water. the message says they are not finding a little water. no names, no number of people given.",230,43
130,"URGENT ACTION NEEDED --this is follow up from previous SMS in regards to possible delivery... possible to deliver my baby in an other country, does not matter what it is..",sible de faciliter mon accouchement dans un autre pays n importe lequel,direct,haiti_earthquake,training,Irrelevant,"urgent action needed --this is follow up from previous sms in regards to possible delivery... possible to deliver my baby in an other country, does not matter what it is..",171,30
131,Please add airtime on my phone. Thanks,mete kat sou telefon mwen. Mesi,direct,haiti_earthquake,training,Irrelevant,please add airtime on my phone. thanks,38,7
132,"We are in dire need of food, water and temporary shelter. We need to know where we can get supplies. We are located in Frere Boukan, La plaine.",Nou pa gen manje Dlo ak abri pwovizwa nou bezyen konnen ki kote nap jwen n adres nou se wout de fr boukan lapli.,direct,haiti_earthquake,training,Resource Requests,"we are in dire need of food, water and temporary shelter. we need to know where we can get supplies. we are located in frere boukan, la plaine.",143,28
133,"The road is damaged and there is no gas, would like to find a motocycle. It costs 500 to go to Port-au-Prince. No one has any money.",Wout la koupe pa gen gaz siw ta jwen yon moto potew metew pop se 5OO epi moun yo pa gen mwayen nan men yo.,direct,haiti_earthquake,training,Resource Requests,"the road is damaged and there is no gas, would like to find a motocycle. it costs 500 to go to port-au-prince. no one has any money.",132,27
134,I woul like to know if aide is only available in pap as the provinces where badly hit as well,Sivouple mwen tarenmen konnen eske ed yo sepou selman potoprens yo ye?paske andey yo fwape tou,direct,haiti_earthquake,training,Critical Rescue,i woul like to know if aide is only available in pap as the provinces where badly hit as well,93,20
135,We have a factory that is on FIRE on road to the airport near Sogebank. It's starting to burn several nearby houses with documents left in them. Please come and help us!!!,Nou gen yon faktori ki pran dif sou wout aerop a b sogebank la li komanse boule tout dokiman ki te rete nan plizy kay yo. tanpri vinn di nou.,direct,haiti_earthquake,training,Situational Awareness,we have a factory that is on fire on road to the airport near sogebank. it's starting to burn several nearby houses with documents left in them. please come and help us!!!,171,32
136,"Good morning Radio One, there are a lot of victims in Fonds Verettes with no one to speak for us",Bonjou RADIO ONE kom nou gen anpil moun Fon vrt ki viktim men ou konnen se Majistra a ki ta pou f vwa pap la pase men li pat konn abitye fe sa men ant,direct,haiti_earthquake,training,Situational Awareness,"good morning radio one, there are a lot of victims in fonds verettes with no one to speak for us",96,20
137,Can you contact a post radio station for us because w do not have any representatives for any assistance in F V R T.,ouka staf radio a sa nan men nou paske nou pagen reprezantan ditou nan F. vrt.,direct,haiti_earthquake,training,Irrelevant,can you contact a post radio station for us because w do not have any representatives for any assistance in f v r t.,116,24
140,"Our area, because we are in an area that has many victims with no help.",ZONE SA PASKE NOU FE PATI ZONE KI PLIS VIKTIM YO E NOU PA JWEN ED A,direct,haiti_earthquake,training,Critical Rescue,"our area, because we are in an area that has many victims with no help.",71,15
141,"I am in Petion Ville, in b. .. incomprehensible, we have no water, there is nothing, there is no money. What is being given in Petion Ville and where?","Mwen petion ville nan bte, nou pa gen dlo, pa gen anyen, pa gen lajan. Kisa kap bay nan petion ville la e ki kote?",direct,haiti_earthquake,training,Critical Rescue,"i am in petion ville, in b. .. incomprehensible, we have no water, there is nothing, there is no money. what is being given in petion ville and where?",150,29
143,City that i'm near is Port-au Prince for me 'm at Titanyen,Vil ki pi pwoch mwen se pa o prens. mwen titanyen.,direct,haiti_earthquake,training,Irrelevant,city that i'm near is port-au prince for me 'm at titanyen,58,12
144,We are a group of police and we found a kid on road 10? st anne please send rescue,Nou se yon gwoup polisye gen yon ti moun ki vivan nan ri di sant bo legliz st anne voye sekou pou li,direct,haiti_earthquake,training,Resource Requests,we are a group of police and we found a kid on road 10? st anne please send rescue,82,19
146,"Dans la zone de Saint Etienne la route de Jacmel est bloqu, il est trsdifficile de se rendre  Jacmel",Nan zon st. etine rout jakmel la bloke se mize pr nou al jakmel,direct,haiti_earthquake,training,Irrelevant,"dans la zone de saint etienne la route de jacmel est bloqu, il est trsdifficile de se rendre jacmel",99,19
147,"We are hungry, we are in the streets. We were robbed we are currently in Vivi Mitchell, Route Freres","NOU GRANGOU, NOU NAN LA RI. VL VIN SOU NOU. ROUTE FRERE, VIVI MITC",direct,haiti_earthquake,training,Critical Rescue,"we are hungry, we are in the streets. we were robbed we are currently in vivi mitchell, route freres",100,19
150,where they should go for water today,kibo yap bay d jodia nan santvil la,direct,haiti_earthquake,training,Resource Requests,where they should go for water today,36,7
151,"I don't know Rue du Muguet, Route de Desprez 7. Is there another location on the Airport Road?","Mwen pa konnen rue du muguet, route de desprez 7 la. eske pa gen yon lot adres sou wout aeroport la.",direct,haiti_earthquake,training,Irrelevant,"i don't know rue du muguet, route de desprez 7. is there another location on the airport road?",94,18
152,We live in La Pleine. Since Tuesday we've been sleeping on the street. Hunger is killing us.,"NOU ABITE LAPLN, DEPI MADI A SE NAN LARI NAP DOMI GRANGOU AP TIYE",direct,haiti_earthquake,training,Resource Requests,we live in la pleine. since tuesday we've been sleeping on the street. hunger is killing us.,92,17
153,"We live in La plaine, we've sleeping in the streets since tuesday. Our house is destroyed. We are dying of thirst and hunger. we can't take this anymore. we'd like to know when the help is coming.","Nou abite laplan depi madi a se nan lari nap demi, kay nou kraze, grangou ak swaf ap tiye nou, nou pa kapab ank, Nou ta renmen konnen kil d yo ap komanse",direct,haiti_earthquake,training,Critical Rescue,"we live in la plaine, we've sleeping in the streets since tuesday. our house is destroyed. we are dying of thirst and hunger. we can't take this anymore. we'd like to know when the help is coming.",196,37
154,I am in LaPleine. Precise location is Carrefour Marin.,"nan laplan, presi zeman nan marin. Mesi",direct,haiti_earthquake,training,Irrelevant,i am in lapleine. precise location is carrefour marin.,54,9
