clean_text,target_label,split,is_synthetic
"URGENT HELP NEEDED, 200 ppl @ 6789 Oak Ave, Chicago, need shelter & food 4 elderly & kids, pls donate #ChicagoStorm",Resource Requests,train,True
"@HHS pls send medical supplies 2 3456 Maple St, Miami, 150 ppl w/ injuries, pls help ASAP #FloridaStorm",Resource Requests,train,True
"PLS SHARE, 100 ppl @ 1234 Maple St, Boston, need food & water, pls donate 2 help us survive #BostonFloods",Resource Requests,train,True
PLEASE HELP WE NEED BABY FOOD AND DIAPERS FOR 30 KIDS IN THIRUVANANTHAPURAM - CALL 9876543210 #KeralaFloods,Resource Requests,train,True
any1 in chennai need help with transportation 4 seniors 70+ 2 wheelchair accessible 2 hospital on andy st pls DM @TamilNaduGov #ChennaiFlood,Resource Requests,train,True
URGENT NEED FOR FIRST AID KIT'S & MEDICINE FOR 200 PEOPLE IN KERALA 100 HAVE DIABETES PLEASE CONTACT 1234567890 #KeralaFloodrelief,Resource Requests,train,True
GROUP OF 12 NEED FOOD & SAFE SHELTER IN BROOKLYN CALL 5551234567 #NYCBlizzard,Resource Requests,train,True
WE NEED WATER PUMP FOR 100 FAMILIES IN THANE pls donate 2 @IndianRedCross #MaharashtraFlood,Resource Requests,train,True
URGENT HELP NEEDED 4 10 YR OLD WITH BROKEN LEG NEEDS CASTING MATERIAL IN MUMBAI CONTACT 9012345678 #MumbaiFlood,Resource Requests,train,True
PLEASE SEND FOOD & WATER 4 OUR NEIGHBORHOOD IN NEW ORLEANS 15 HOUSES AFFECTED BY Ida #NOLAHelp,Resource Requests,train,True
WE NEED GENERATORS TO POWER HOSPITAL FOR 300 PEOPLE IN KERALA pls donate 2 @NDRF #KeralaFloods,Resource Requests,train,True
"EMERGENCY SHELTER NEEDED 4 50 FAMILIES IN HOUSTON WITH NO POWER, FOOD OR WATER CALL 5556543210 #HurricaneHarvey",Resource Requests,train,True
"PLEASE HELP WE NEED BLOOD 4 50 PEOPLE IN NEED IN MUMBAI 20 TYPE O, 20 TYPE A, 10 TYPE B pls donate @IndianRedCross #MumbaiFloods",Resource Requests,train,True
"KeralaFloods need help pls 50 ppl stranded at Kozhikode bus stand, need rescue boats ASAP #kottakkal",Resource Requests,train,True
"@RedCross we r running out of medical supplies, urgent need 4 IV fluids & antibiotics for 100+ ppl in Kovalam #NDRF",Resource Requests,train,True
"GROUP OF 12 NEED HELP in Calangute goa, missing elderly man 75 with dementia, pls help us search #GoaFlood",Resource Requests,train,True
plz donate blood in ernakulam we need O- & A+ urgently for surgeries in this KeralaFloods disaster #IndiaNeedsBlood,Resource Requests,train,True
@NDRF need a 4WD vehicle 2 deliver food & shelter 2 200 ppl in flood-hit areas of Alleppey #KeralaRelief,Resource Requests,train,True
"PLEASE HELP in Nagpur ppl r dying 4 water, can someone pls provide 1000L water bottles ASAP #MSEDCL",Resource Requests,train,True
"in Sitapur UP group of 5 ppl r stranded at local hospital, need medical aid 4 child w/ heart condition pls rush #UPFloods",Resource Requests,train,True
"@IndianRedCross we r setting up 1st aid station near Kharar Chandigarh, need volunteers & medical equipment ASAP #PunjabFlood",Resource Requests,train,True
"URGENT HELP REQUIRED in Purnea Bihar, 150 ppl r homeless & need shelter 2 night ASAP pls donate #Biharflood",Resource Requests,train,True
"@SAPurta need baby supplies (food, diapers, formula) 4 50+ infants in flood-affected areas of Guntur #TamilNaduRelief",Resource Requests,train,True
"PLEASE HELP! Group of 12 ppl, incl 5 kids under 5, stuck in flooded St James Rd, Miami, need food & water ASAP! @RedCross #FloridaFloods",Resource Requests,train,True
"URGENT NEED @NDRF! Our house in Sector 15, Ludhiana, has collapsed, pls send rescue team ASAP! 30 people trapped! #LudhianaNeedsHelp",Resource Requests,train,True
"Camping on Gulmohar Rd, Pune, since 2 days, need water purification tablets & first aid kits. @UNICEF pls help! 20 kids here. #PuneFloods",Resource Requests,train,True
"PLEASE SEND POWER GENERATORS! Whole of Sector 3, Noida, is without electricity, incl senior citizens & kids. We r running out of food! @PowerGrid #NoidaNeedsPower",Resource Requests,train,True
"Group of 12 people stranded in Shilong, Meghalaya, need transport to nearest hospital. 2 people badly injured! @NDRF pls help! #ShillongNeedsHelp",Resource Requests,train,True
"PLEASE HELP US! Family of 5, incl 2-year-old & grandma, lost home in cyclone in Cuttack, need shelter & food. @OdishaGov please! #CuttackNeedsShelter",Resource Requests,train,True
"Need medical aid in Sector 2, Chandigarh! @ArmyMedicalCorp pls send team ASAP! 10 people injured in car crash. #ChandigarhNeedsHelp",Resource Requests,train,True
"PLEASE DISTRIBUTE THIS INFO! Our community center in Bhubaneswar is distributing food & water, but pls RT to help more ppl. @OdishaGov #BhubaneswarNeedsHelp",Resource Requests,train,True
"PLEASE DONATE! We r running a relief camp in Kathmandu, need baby supplies & blankets for 50 kids. @UNICEF pls help! #KathmanduRelief",Resource Requests,train,True
GROUP OF 10 PEOPLE TRAPPED IN FLOODED STREET IN HYDERABAD! Need rescue team ASAP! @NDRF pls help! #HyderabadFloods,Resource Requests,train,True
PLEAS HELP WE NEED WATER BADLY!! 20 people stranded at #KeralaFloods in Kozhikode district @NDRF @RedCross #FloodRelief,Resource Requests,train,True
"GROUP OF 12 NEED NON PERISHABLE FOOD ASAP IN JATINDA NEIGHBORHOOD, DELHI @DelhiFloods @NDMA @RedCross #IndiaFloods",Resource Requests,train,True
WE NEED MEDICAL AID FOR 5 PEOPLE WITH DIABETES IN #HurricaneHelp #FloridaFloods area of Miami Beach @RedCross @FEMA,Resource Requests,train,True
"PLEASE DM IF YOU CAN SEND BABY SUPPLIES (DIAPERS, FORMULA) TO OUR SHELTER IN NEW ORLEANS #HurricaneRelief @RedCross @CityOfNOLA",Resource Requests,train,True
URGENT NEED FOR GENERATORS @PowerOutage in #HoustonFloods area of downtown Houston @CenterPoint @NWS,Resource Requests,train,True
WE HAVE A COORDINATED EFFORT 2 SEND RELIEF MATERIALS TO #KeralaFloods KANNUR DISTRICT IF YOU CAN SEND WATER BOOTS @KeralaFloods @NDRF,Resource Requests,train,True
PLEASE HELP US GET MEDICAL TRANSPORT TO THE HOSPITAL FOR THE 85 YR OLD WOMAN IN #FloodRelief area of Chennai @TNHealth @NDRF,Resource Requests,train,True
IF U CAN SEND ANY KIND OF CLOTHES WE NEED TOGETHER SHELTER FOR 30 FAMILIES IN #SrilankaFloods area of Ratnapura @RedCross @UNICEF,Resource Requests,train,True
PLEASE HELP US GET A BACKUP POWER SOURCE 4 OUR HOSPITAL IN #CaliforniaWildfires area of Santa Rosa @RedCross @PG&E,Resource Requests,train,True
WE NEED WATER PURIFICATION TABLETS FOR 100 PEOPLE IN #BangladeshFloods area of Cox's Bazar @WFP @UNICEF #FloodRelief,Resource Requests,train,True
PLEASE HELP my family in need of water in #TennesseeFloods we r stuck on 3rd floor of bldg @NashvilleFD @RedCross pls send help ASAP!,Resource Requests,train,True
"URGENT NEED of shelter for 20 people at 123 Main St, Delhi, #UttarPradeshFloods pls contact @NDMAINDIA @StateBankofIndia",Resource Requests,train,True
"GROUP of 12 need oxygen tanks & medical aid at Sector 3, Chandigarh, #PunjabFloods pls DM me @NDRF @IndianRedCross",Resource Requests,train,True
"anyone with a generator in #FloridaHurricane pls help us get power back at 456 Ocean Blvd, Miami, @FEMA @ElectricityCo",Resource Requests,train,True
"WE r in emergency need of diapers & milk for 8 babies at 789 B St, New Orleans, #LouisianaFloods pls send ASAP @CARE @RedCross",Resource Requests,train,True
"looking 4 ppl 2 help clear trees & debris at 234 Maple St, Houston, #TexasHurricane pls DM me @FEMA @CityOfHouston",Resource Requests,train,True
"PLEASE HELP my 85 yr old mom who needs insulin in #CaliforniaWildfire we r trapped on 567 Oak Dr, Los Angeles @LAHOSPITAL @FireDept",Resource Requests,train,True
"any medical personnel with experience in #NepalEarthquake pls help at 891 K St, Pokhara, @NepalRedCross @WHOEMERGENCY",Resource Requests,train,True
"PLEASE RETWEET this 2 help my neighborhood of 50 ppl @ 1234 Market St, #PuertoRicoHurricane WE need power back ASAP @FEMA @NPR",Resource Requests,train,True
"URGENT NEED of rescue at 345 Bridge St, #Bangladesh cyclone pls contact @BDMilitary @WHOEMERGENCY",Resource Requests,train,True
PLEASE HELP! group of 12 need food 4 kids aged 1-5 in #YemenCrisis #Sanaa #RedCross @RedCross,Resource Requests,train,True
need water n shelter 4 30 ppl in #HurricaneMaria #PuertoRico #SanJuan pls DM @NDRF,Resource Requests,train,True
ernakulam Kerala need medical aid 4 25 yr old man w/heart condition pls help ppl keralafloods @RedCross,Resource Requests,train,True
urgent: 5 homes in #TexasHurricane #Houston need generators pls help we cant survive w/out @FEMA,Resource Requests,train,True
need baby supplies 4 10 kids in #EthiopiaFlood #Ethiopia @UNICEF pls help them,Resource Requests,train,True
PLEASE RT we need ppl 2 help us clear #YosemiteFlood #California debris n roads @CalFire @NPS,Resource Requests,train,True
need rescue team 4 10 ppl stuck in #ItalyFlood #Florence need help pls DM @NDRF,Resource Requests,train,True
group of 12 need food 4 kids aged 1-5 in #YemenCrisis #Sanaa @RedCross need ur help pls,Resource Requests,train,True
PLEASE HELP! 30 ppl in #KeralaFloods need power banks n ordinary cellphones DM @RedCross,Resource Requests,train,True
need shelter 4 15 ppl in #FloridaHurricane #Miami pls DM @FEMA we R desperate,Resource Requests,train,True
@RedCross pls help! 20 ppl stuck in flooded Kakinada need oxygen & medicine NOW #TelanganaFloods,Resource Requests,train,True
"group of 12 need food & water delivered 2 our shelter in Thane, Maharashtra ASAP pls #MumbaiFloods",Resource Requests,train,True
anyone in #Florida know of a place 2 donate baby supplies in Fort Lauderdale? Our 2 yr old needs diapers #HurricaneHelp,Resource Requests,train,True
"@NDRF WE NEED GENERATORS 4 our entire neighborhood in Cuttack, Odisha ASAP! #OdishaFloods",Resource Requests,train,True
"URGENT help needed 4 a 45yr old man w/ diabetes in flood-ridden Varansi, Bihar #BiharFloods",Resource Requests,train,True
does anyone know if #PuertoRico has a helpline 4 ppl w/ pets? Our 3yr old needs his cat #HurricaneMaria,Resource Requests,train,True
"we need 20 water containers & water purification tablets 4 our community in Kochi, Kerala pls help ASAP #KeralaFloods",Resource Requests,train,True
any one in #Texas know 2 deliver medical aid 4 5 elderly ppl in Houston? They r in need of oxygen masks NOW! #HurricaneHelp,Resource Requests,train,True
group of 12 ppl in #Honduras need rescue! We r on the 3rd floor in flooded building in Tegucigalpa pls help #HurricaneFiona,Resource Requests,train,True
does anyone in #Georgia know 2 donate a 4x4 vehicle 4 our rescue team in Atlanta? pls help us get ppl 2 safety ASAP #HurricaneHelp,Resource Requests,train,True
"urgent need at 143 main st in new orleans - 5 ppl stranded, elderly mother w/diabetes needs help plz @RedCross",Resource Requests,train,True
"KeralaFloods HELP WE R STRANDED ON 2ND FLOOR OF BUILDING AT 12, CHENNAI HIGH ROAD, ERNAKULAM PLZ SEND RESCUE TEAM ASAP",Resource Requests,train,True
"group of 12 need emergency food, water & shelter in hurricane-hit area of brooklyn pls DM @NDRF for coords",Resource Requests,train,True
"@NYFD 3 families trapped in 5th floor apt bldg at 34, w 4th st, manhattan, kids under 5, pls send help ASAP",Resource Requests,train,True
need medical aid 4 my 2 yr old son w/burns in the katrina aftermath pls send doctors or supplies @RedCross,Resource Requests,train,True
can anyone pls donate baby supplies 4 the victims of the houston flood @NDRF we're low on diapers n formula,Resource Requests,train,True
@FEMA help a pregnant woman in labor in the flooded areas of puerto rico pls send ambulance ASAP,Resource Requests,train,True
PLEASE HELP WE R IN NEED OF POWER GENERATORS & WATER PURIFIERS IN THE AFFECTED AREAS OF FLORIDA @RedCross,Resource Requests,train,True
"urgent need at 221, west 10th st in hurricane-hit miami - 20 ppl stranded, elderly father w/kidney disease needs help plz @NDRF",Resource Requests,train,True
group of 50 ppl need shelter & food in the affected areas of texas pls send aid @RedCross #hurricanerelief,Resource Requests,train,True
PLEASE HELP! Group of 12 need rescue from flooded neighborhood in Miami FL (@FEMA @RedCross) #HurricaneHelp,Resource Requests,train,True
URGENT: Need medical aid 4 critically injured 6yr old boy in ravaged area of Orissa's Berhampur city (@NDRF @OdishaCm),Resource Requests,train,True
"any1 in Ahmedabad pls donate warm blankets & clothes 4 displaced seniors, over 100, @RedCross #GujaratFloodsRelief",Resource Requests,train,True
"@NDRF pls send rescue team to flooded streets of Visakhapatnam's Pendurthi area, at least 20 homes affected #AndhraFloods",Resource Requests,train,True
"need ppl with 4x4 vehicles to transport seniors 2 nearby shelter in ravaged parts of Puerto Rico, ASAP pls help (@USAID)",Resource Requests,train,True
"drinking water crisis in #KeralaFloods! Need water tanker suppliers in Coimbatore to ship 2 Ernakulam, Aluva",Resource Requests,train,True
"URGENT: Newborn baby supplies needed in ravaged area of #Houston, 100+ newborns without diapers, milk @TexasCARES",Resource Requests,train,True
"Need reliable power generators in flood-affected areas of Assam, ASAP pls donate @AssamCm @NDRF",Resource Requests,train,True
"PLEASE SHARE: Help needed 2 distribute food rations in Chennai's Ennore, at least 50 families affected #TamilNaduRain",Resource Requests,train,True
"Need names + contact info of people in flood-affected areas of Bihar, pls provide or request info @BiharPolice @NDRF",Resource Requests,train,True
"pls send help to our small village in Odisha, 300 ppl stuck w/o food & water after cyclone #OdishaCyclone",Resource Requests,train,True
"anyone from @NDRF pls bring medical aid & stretcher 2 my friend in Jammu, she got injured in flash flood #JammuFloods #JFKHospital",Resource Requests,train,True
"urgent pls send tents & blankets 2 50 stranded ppl in our apartment complex at Jalan Sultan Rd, Singapore #SGFloods",Resource Requests,train,True
"can someone pls send a transport vehicle 2 us at Kandy Rd, we r stuck w/ our kids after landslide #KandyLandslide",Resource Requests,train,True
"can we pls get a water refill truck 2 our community center 2 help the elderly & babies in Little Rock Rd, Florida #Floridafloods",Resource Requests,train,True
"group of 12 need generator 2 keep our medical clinic open in Puerto Rico, pls send ASAP #PuertoRicoHelp",Resource Requests,train,True
"anyone w/ rescue boats pls come 2 our location on Vashi Bridge, we r stuck w/o way 2 escape #MumbaiFloods",Resource Requests,train,True
"need baby supplies & formula 4 our orphanage in Chennai, pls send ASAP #ChennaiHelp #AdoptDontShop",Resource Requests,train,True
"@RedCross pls bring medical aid & doctors 2 our community at Bayview Rd, we r in dire need after hurricane #HurricaneHelp",Resource Requests,train,True
"need pls send a team 2 rescue 20 ppl trapped under debris in our neighborhood at 12th main road, Bengaluru #BengaluruFloods #112HelpLine",Resource Requests,train,True
PLEASE SEND FOOD PACKAGES 2 NAGPUR STREET IN DELHI WE HAVE 75 PEOPLE STUCK & RUN OUT OF WATER #IndianDisaster,Resource Requests,train,True
WE R A GROUP OF 12 NEEDING MEDICAL AID ASAP DOCTORS R REQUIRED IN KATHMANDU NEPAL #NepalEarthquakeRelief,Resource Requests,train,True
URGENT - 50 PEOPLE STUCK IN FLOODwaters NEED LIFESAVING WATER & FOOD IN KERALA INDIA @NDRF #KeralaFloods,Resource Requests,train,True
HELP WE NEED URGENTLY 500 BLANKETS 4 PEOPLE WOUNDED IN SYDNEY FLOODS ANY HELP WELCOME #AustralianDisaster,Resource Requests,train,True
CALL 2 ACTION 50 FAMILIES NEED HOMELESS SHELTER IN NEW ORLEANS CAN U DONATE #HurricaneHelp,Resource Requests,train,True
PLEASE HELP US GET MEDICAL SUPPLIES 2 TAMIL NADU WE HAVE CHILDREN WITH DIABETES @RedCross #IndiaDisaster,Resource Requests,train,True
URGENT NEED 4 RESCUE VEHICLES IN BANGLADESH 100 TRAPPED IN BUILDING COLLAPSE #BangladeshDisaster,Resource Requests,train,True
PLEASE SEND BABY SUPPLIES OUR NEIGHBORHOOD IN PHILADELPHIA HAS LOST EVERYTHING #USDisasterRelief,Resource Requests,train,True
ANY 1 IN SRI LANKA PLZ DM ME WE NED SHELTER 4 20 PEOPLE DISPLACED BY LANDSLIDE #SriLankaDisaster,Resource Requests,train,True
GROUP BUYING A GENERATOR IN GUATEMALA CAN WE GET IT DELIVERED TO LAKE ATITLAN ASAP #GuatemalaDisaster,Resource Requests,train,True
"PLEASE HELP in Oakdale, OH, 30 ppl stranded w/out power since storm hit, pls send generators ASAP #HurricaneRelief #OhioHelp",Resource Requests,train,True
"@RedCross, we need 2,000 bottles of water for shelter at 123 Main St in downtown Nashville ASAP #HurricaneFloods #NashvilleHelp",Resource Requests,train,True
"URGENT - Group of 12 need rescue from 5th floor of flooded apartment bldg on 5th Ave in NYC, pls send boats NOW #NYCFloods #SOS",Resource Requests,train,True
"Food donations needed for elderly in Little Rock, AR, especially canned beans & soup, pls drop off @ 456 Elm St #ArklahomaFloods #FoodDrive",Resource Requests,train,True
"PLEASE HELP in Miami, FL, pregnant woman needs ambulance to deliver baby, pls send medical team NOW #HurricaneRelief #MiamiHelp",Resource Requests,train,True
"Shelter & blankets needed for 200 homeless ppl in Seattle, WA, pls donate @ 789 Pine St #SeattleStorm #HomelessHelp",Resource Requests,train,True
"@NDRF, pls send rescue team to 345 Maple St in Chicago, IL, 10 kids trapped in basement #ChicagoFloods #RescuePlease",Resource Requests,train,True
"Water purification tablets & medical supplies needed for 50 ppl in Puerto Rico, pls send ASAP #PuertoRicoHelp #DisasterRelief",Resource Requests,train,True
"Need 10 tents & sleeping bags for ppl displaced by flood in Baton Rouge, LA, pls donate @ 901 Oak St #LAfloods #ShelterNeeded",Resource Requests,train,True
"Group of 5 ppl w/ medical conditions stuck in 4th floor apt in San Francisco, CA, pls send medical aid & rescue team NOW #SFStorm #MedicalEmergencies",Resource Requests,train,True
PLEASE HELP! stranded 4 6 hrs in kashmir's ganderbal dist after cloudburst need rescue team ASAP @NDRF @RedCross,Resource Requests,train,True
group of 12 need food & water plz drop supplies at srinagar's badamwari park we r stuck here @sogamumbai @kashmirsos,Resource Requests,train,True
"need medical aid @Aluva Kerala flood victims are suffering, especially kids w/ fever @KeralaRedCross @RedCross",Resource Requests,train,True
anyone in kerala with 4-wheel drive pls pick up stranded family @keralaFloods @ndrf @RedCross,Resource Requests,train,True
Kashmir in distress plss send oxygen & water to iok hospital @NDRF @RedCross @IndiaGovt,Resource Requests,train,True
rescue team needed in haryana's kaithal dist 20+ families displaced due 2 floodwater @NDRF @haryanaPds,Resource Requests,train,True
PLEASE SHARE! baby formula & diapers urgently needed @KeralaFloods @RedCross @unicef,Resource Requests,train,True
can someone pls donate 4 a transport vehicle 2 help deliver aid 2 flood-hit areas in kerala @RedCross @NDRF,Resource Requests,train,True
group of 15 ppl stuck @Thane's chinchwad area need shelter & food ASAP @Mumbaimahadis @RedCross,Resource Requests,train,True
@RedCross can u pls drop power generators @keralaFloods relief camps are struggling w/ no electricity @keralarelieffund,Resource Requests,train,True
"PLEASE HELP we r stranded in Lower Parel, Mumbai. need 20 bottles of water NOW. #MumbaiFloods @NDRF pls hurry up.",Resource Requests,train,True
just got word that 8 kids in our shelter @Sri Lanka have scabies. NEED MEDICAL SUPPLIES ASAP. @RedCross can you help?,Resource Requests,train,True
"we r a group of 12 in Juhu, Mumbai, need shelter 4 the night. pls rt if u can provide 2 shelter locations. #MumbaiFloods",Resource Requests,train,True
URGENT need for baby food & diapers 4 20 babies in our care @NepalEarthquake @UNICEF pls help!,Resource Requests,train,True
just got back from a 10km walk in our neighborhood in Chennai. need 1 generator to charge phones pls. #ChennaiFloods @TANGEDCO,Resource Requests,train,True
@NYC Mayor we r in desperate need of rescue in Queens. 100+ ppl stranded in our building on Roosevelt ave. help pls.,Resource Requests,train,True
URGENT need 4 transport 2 evacuate 30 seniors from our nursing home in Houston. pls contact @HoustonFire,Resource Requests,train,True
just got word that our local hospital in Kathmandu is running out of blood. NEED TYPE B BLOOD 4 our staff NOW. #NepalEarthquake @RedCross,Resource Requests,train,True
"GROUP OF 12 NEED FOOD 4 THE NEXT 2 DAYS. WE R LOCATED IN WILMINGTON, NC. PLEASE HELP WITH FOOD DONATIONS @WilmingtonNC",Resource Requests,train,True
"WE R IN NEED OF RESCUE IN MANHATTAN, NYC. 50+ PPL STRANDED IN OUR APARTMENT BUILDING ON 5TH AVE. HELP PLS @FDNY",Resource Requests,train,True
PLEASE HELP WE NEED MEDICAL SUPPLIES @RedCross ASAP FOR 25 PEOPLE IN KERALA FLOODS #KeralaFloods #MedicalAid,Resource Requests,train,True
URGENT NEED FOR SHOES SIZES 2-7 @UNICEF pls help with new pairs for 50 kids in affected area in Philippines #Tacloban #TyphoonRelief,Resource Requests,train,True
need transport 2 get 12 ppl from eranakulam2pathanamthitta @NDRF can you send ambulances pls help #KeralaFloods #Rescue,Resource Requests,train,True
group of 60 ppl stranded in chavakkad need shelter @CMOKerala pls send tents ASAP #KeralaFloods #Shelter,Resource Requests,train,True
its been 72 hours no power in my home in delhi @BSES Dl help pls send generators ASAP #Dharamsala #PowerOutage,Resource Requests,train,True
WE R RUNNING LOW ON BABY FORMULA @WorldFood @RedCross HELP 1 yr girl in critical condition needs ASAP #PuertoRico #HurricaneMaria,Resource Requests,train,True
PLEASE SHARE HELP MY MOTHER WHO HAS DIABETES NEED WATER & MEDICINE ASAP in flood affected areas #Kerala #Floods,Resource Requests,train,True
Kerala #floods need food 1500 packets in ranni pathanamthitta area mostly girls r fainting 4 lack of food need ur help pls contact 919747253799 #Keralasos,Resource Requests,train,True
can someone pls help with gas cylinders? we r in dire need for cooking food in our shelter @ONGC @CMOKerala #KeralaFloods #GasCylinerNeeded,Resource Requests,train,True
PLEASE HELP US WE R STILL WAITING 4 RESCUE @NDRF @IndianAirForce can u pls send rescue teams in aranmula kerala #KeralaFloods #Rescue,Resource Requests,train,True
"PLEASANTON, CA - 50 ppl @ 1550 S MARY AVE need food & water ASAP! @SFGiants pls donate! #BayAreaFloods #SanJoaquinValleyFloods",Resource Requests,train,True
"@NDRF WE NEED EMERGENCY SHELTER @ 345 E MAIN ST, BHADRAPUR, ODISHA for 100 flood evacuees pls help! #OdishaFloods #NDRF",Resource Requests,train,True
"WE R TRAPPED IN FLOODED HOME @ 123 BAYOU ST, BATON ROUGE, LA. 3 KIDS, 2 ADULTS need RESCUE ASAP @RedCross #LouisianaFloods #HurricaneHelp",Resource Requests,train,True
"KATHMANDU, NEPAL - 20 homes in ASHU CHOWK, KOTESHOR need ROOF LEAK REPAIRS & SHIELDING pls donate supplies @IFRC #NepalEarthquake #DisasterRelief",Resource Requests,train,True
"GROUP OF 12 NEED TRANSPORTATION 2 SAFE ZONE @ 456 S MAIN ST, BAJAJ NAGAR, DELHI @ DelhiPolice pls assist! #DelhiFloods #Transportation",Resource Requests,train,True
"BABY EMILY @ 789 W 5TH ST, OKLAHOMA CITY, OK needs NEW DIAPERS & FORMULA ASAP due 2 severe flooding @OklaRedCross pls help! #OklahomaFloods",Resource Requests,train,True
"WE R MISSING @ 12 E 14TH ST, BAHIA PAPAYA, PUERTO RICO, NEED WATER, FOOD, & LIGHTING pls send aid ASAP! #PuertoRicoHurricane #HurricaneMaria",Resource Requests,train,True
"KERALA, INDIA - WE NEED WATER PUMP & GENERATORS @ 234 N CHATHAM, THRISSUR, KERALA pls donate funds @NDRF #KeralaFloods #DisasterRelief",Resource Requests,train,True
"@AmericanRedCross PLEASE SEND DOGS & PET SUPPLIES @ 456 E MAIN ST, NEW ORLEANS, LA WE HAVE 50 STRAY ANIMALS #NewOrleansFloods #PetRescue",Resource Requests,train,True
"WE R LOST @ 123 E 4TH ST, BAHRAICH DIST, UTTAR PRADESH, INDIA, NEED MEDICAL AID & SUPPLIES pls help ASAP @NDRF #UttarPradeshFloods #MedicalAid",Resource Requests,train,True
PLEASE HELP WE R IN NEED OF BABY FORMULA & DIAPERS 4 OUR 12 MONTH OLD IN #FloodingInKerala 500 families stranded in Edappal!,Resource Requests,train,True
@NDRF pls send medical aid 2 Kottayam ASAP 30 people injured in the flood with severe back injuries need surgery ASAP #KeralaFloods,Resource Requests,train,True
@RedCross urgent req for transport 2 evacuate 200 elderly ppl frm flooded areas in #HurricaneIda,Resource Requests,train,True
Need shelter 4 50 ppl in #HurricaneHelp in Port Arthur pls send tents & mattresses ASAP its gettin dark,Resource Requests,train,True
GROUP OF 12 NEED DISCHARGE PAPERS & MEDICINE F4 OUR DISABLED MOM IN KERALA FLOOD ZONE PLEASE HELP!!!,Resource Requests,train,True
PLS RT WE NEED POWER GENERATORS 4 100 FAMILIES IN #FloodingInBangladesh,Resource Requests,train,True
NEED EMERGENCY MEDICATED WATER F4 50 PUPILS IN SCHOOLS HIT BY #KeralaFloods @UNICEF,Resource Requests,train,True
PLEASE SEND FOOD & FIRST AID KITS 2 KOTTAYAM 1000 PPL AFFECTED BY #HurricaneFlorence,Resource Requests,train,True
GROUP OF 10 NEED FOSTER HOMES 4 THEIR DOGS IN #HurricaneHelp KOTTY,Resource Requests,train,True
Need rescue 2 find 12 Y/O GIRL IN KERALA FLOOD ZONE #KeralaFloods plz share her pic & location @NDRF @police,Resource Requests,train,True
"PLEASE HELP we r a group of 12 at 345 main st in new orleans stranded in attic w 3 small kids & elderly lady, need rescue NOW #HurricaneHelp",Resource Requests,train,True
"need help ppl its our 2nd day without power at 123 e 7th st philadelphia, have 2 elderly w dementia, pls send portable generator ASAP #PhillyAid",Resource Requests,train,True
"@americanredcross we r 15 at 567 w 14th st in los angeles, shelter damaged, pls send tents, blankets, & medical supplies ASAP #LAstorms",Resource Requests,train,True
