clean_text,target_label,predicted_label,event
"cyclone idai claims 48 lives in mozambique, 39 in zimbabwe rescue and recovery efforts are ongoing, mangwana cycloneidai",Critical Rescue,Volunteering and Donations,cyclone_idai_2019
"cycloneidai has killed hundreds and affected millions in mozambique, malawi and zimbabwe. care is joining members in launching an emergency appeal. please donate to help us provide urgently needed shelter, food and health assistance",Critical Rescue,Resource Requests,cyclone_idai_2019
"cyclone killed hundreds in mozambique and zimbabwe and bomb blast shattered mogadishu,not a word of condolence or condemnation from african leaders if it were to happen in the west,they could have been competing with each other, in shedding their tears and sending their hearts .",Critical Rescue,Irrelevant,cyclone_idai_2019
so you thought of waiting for people to be killed by the floods first then you react??? cycloneidai,Critical Rescue,Irrelevant,cyclone_idai_2019
"why is it each time the president flies out, people die? september 2018 to china - cholera outbreak november - december 2018 on annual holiday - doctors strike 14 january 2019 to russia, belarus, etc - innocent civilians during fuel protests and now to uae - cycloneidai",Critical Rescue,Situational Awareness,cyclone_idai_2019
"scenes from bangula camp in malawi, where residents displaced by storms and flooding have set up makeshift homes. government officials work on distributing food aid, while children from mfera full primary school take some classes. cycloneidai",Critical Rescue,Volunteering and Donations,cyclone_idai_2019
notley will visit fort mcmurray tomorrow amid cautious optimism re ymmfire,Irrelevant,Situational Awareness,canada_wildfires_2016
can someone not invent a large fire resistant massive inflatable water pipe 2 surround affected area then burst it,Irrelevant,Situational Awareness,canada_wildfires_2016
fortmacfire from space alberta 34 wildfires 5 outofcontrol 23 undercontrol 1.5k firefighters ymmfire canada,Irrelevant,Situational Awareness,canada_wildfires_2016
maybe we should just burn down our homes cuz they could be flammable and ignite our home? uh wait a sec. fuck off,Irrelevant,Situational Awareness,canada_wildfires_2016
our thoughtsandprayers-brothersandsister firefightersand paramedics in fort mac. be safe fighting those fires fort max http,Irrelevant,Situational Awareness,canada_wildfires_2016
wanna see us play main stage at warped?! help us out!! spread it like wildfire!,Irrelevant,Resource Requests,canada_wildfires_2016
bc wildfire service says they received two reports of people about to launch drones near 2 fires near fort st. john.,Irrelevant,Situational Awareness,canada_wildfires_2016
"hi . has your fibre line near high level, alberta, been affected by the wildfire?",Irrelevant,Situational Awareness,canada_wildfires_2016
wildfire festival needs your help.,Irrelevant,Resource Requests,canada_wildfires_2016
"thanks, for releasing more images to help emergency crews. fortmacfire fortmcmurray",Irrelevant,Volunteering and Donations,canada_wildfires_2016
ymmfire as premier calls for a national strategy on wildfires good to review history.,Irrelevant,Volunteering and Donations,canada_wildfires_2016
syrian refugees helping out fort mac wildfire victims in canada. please cover this story. fortmacfire,Irrelevant,Volunteering and Donations,canada_wildfires_2016
"so many hockey memories were destroyed my championship ring with bsens in 2010-11 , my jersey from ottawa",Irrelevant,Situational Awareness,canada_wildfires_2016
"iea rt ieabirol our thoughts are with the residents and workers of fort mcmurray, alberta, as wildfire forces evacuation",Irrelevant,Critical Rescue,canada_wildfires_2016
"dear world, please help us.",Irrelevant,Resource Requests,canada_wildfires_2016
fort mcmurray fire rain could be a double-edged sword for wildfire-stricken area firefighters near fort mcm,Irrelevant,Critical Rescue,canada_wildfires_2016
teachers please contact your locals leadership with this information asap,Irrelevant,Situational Awareness,canada_wildfires_2016
nhl player from ymm shares his story in . heartfelt read w local fortsask mention,Irrelevant,Situational Awareness,canada_wildfires_2016
red cross will sink 90 of that money into their own non-profit organization though.,Irrelevant,Volunteering and Donations,canada_wildfires_2016
"my thoughts are with everyone suffering from wildfire evacuations, from fort mcmurray across canada",Irrelevant,Critical Rescue,canada_wildfires_2016
change in weather gives firefighters a goes out 2 our friends n neighbors!please donate 2your nearest red cross,Resource Requests,Volunteering and Donations,canada_wildfires_2016
please spread the word that chimanimani hotel is a safe haven for those who are stranded. we dont have a lot but we can offer shelter to those who need it. call or sms mandla mataure on 0775541329 chimanimanicyclone cycloneidai cycloneidaiupdate,Resource Requests,Volunteering and Donations,cyclone_idai_2019
"urgent appeal for relief and donations for people affected by cyclone idai in malawi, mozambique and zimbabwe. read statement here",Resource Requests,Volunteering and Donations,cyclone_idai_2019
are they on twitter guys? the police and soldiers should be touring these areas and helping our citizens,Resource Requests,Irrelevant,cyclone_idai_2019
the hundreds of thousands of people affected by cyclone idai need your help! national partners and are in affected areas providing emergency assistance.,Resource Requests,Volunteering and Donations,cyclone_idai_2019
this is greatly sad. the government should rwach out to help affected people.,Resource Requests,Irrelevant,cyclone_idai_2019
"!landed! a unhcr airlift has just delivered a fresh consignment of aid to beira airport. it will provide shelters, solar lamps, plastic sheeting, buckets and other basic relief items to thousands of survivors of cycloneidai",Resource Requests,Volunteering and Donations,cyclone_idai_2019
"as flood water from cycloneidai begin to recede in mozambique and more areas become accessible, additional humanitarian needs are being identified. s response team is scaling up its response, working w , and to provide lifesaving assistance",Resource Requests,Volunteering and Donations,cyclone_idai_2019
"we are really sitting here on a water, sanitation and hygiene ticking bomb, -- secretary general appeals for more immediate assistance for victims of cycloneidai in southern africa.",Resource Requests,Volunteering and Donations,cyclone_idai_2019
"the people of mozambique, zimbabwe and malawi will need strong, sustained support. let that solidarity start with a generous response to the appeals. - calls for urgent funding for life-saving aid in wake of cycloneidai.",Resource Requests,Volunteering and Donations,cyclone_idai_2019
"we will need further support in the coming months. the rescue phase is over, but we need to rebuild all infrastructures damaged, we need seeds for our farmers, says the president of mozambique in a meeting with the humanitarian organizations working on cycloneidai response.",Resource Requests,Volunteering and Donations,cyclone_idai_2019
my home area of chimanimani has been ravaged by cycloneidai . please help. any amount is welcome. the details are in the attached picture. togetherwestand,Resource Requests,Volunteering and Donations,cyclone_idai_2019
"just got this message from the cycloneidai relief team in harare -if anyone is free and keen to help sort and pack at highlands presby, they are desperate for help! so if you are free and in harare get down to highlands presby! i guarantee your spirits will be uplifted.",Resource Requests,Volunteering and Donations,cyclone_idai_2019
but assuming and concluding that someone did nothing because he she did not post it on zwitter or any other social media is total madness.. lets help the affected without pointing fingers this and that as if some of us are the pefect pple zwitter cycloneidai cycloneidaizw,Resource Requests,Irrelevant,cyclone_idai_2019
"should deploy more nurses and doctora to the referral hospitals where victims of the cycloneidai are being taken to, so as to provide standard health service per patient. hospitals in such areas are short staffed and the few nurses happen to exhaus",Resource Requests,Volunteering and Donations,cyclone_idai_2019
"communities affected by cycloneidai giving an account of what transpired. lack of security , livelihoods destroyed and lack of clean water are some of the urgent issues that need to be addressed! were together with survivors of cycloneidai",Resource Requests,Situational Awareness,cyclone_idai_2019
"a huge number of people have been displaced and need food, shelter and health facilities. edgar jone for describes the devastation caused by cycloneidai in his home town of beira",Resource Requests,Critical Rescue,cyclone_idai_2019
why canada can not help ecuador both country are my home ? where is the aid ?,Resource Requests,Irrelevant,ecuador_earthquake_2016
guys my country needs help we experienced. 7.8 earthquake on saturday night and many cities are destroyed!read,Resource Requests,Situational Awareness,ecuador_earthquake_2016
"death toll keeps rising please donate if you can, anything helps prayforecuador",Resource Requests,Critical Rescue,ecuador_earthquake_2016
ymmhelps fortmacfire ymmfire fortmcmurray an angel with its wings spread trying to put out the fires,Situational Awareness,Irrelevant,canada_wildfires_2016
survival tip11 survival prepping evacuation bugout wildfire fortmac fortmacfire,Situational Awareness,Critical Rescue,canada_wildfires_2016
not cool. the climate context for albertas wildfires. good perspective environment climate y,Situational Awareness,Irrelevant,canada_wildfires_2016
"save some applause for brian jean, writes",Situational Awareness,Volunteering and Donations,canada_wildfires_2016
the chronicle will be adding links for people looking to help those affected by the fire in fort mcmurray. check out,Situational Awareness,Volunteering and Donations,canada_wildfires_2016
canadians helping canadians donate albertastrong redcross canada help wildfire,Situational Awareness,Volunteering and Donations,canada_wildfires_2016
"after canada wildfire, a silver lining for businesses yahoo! hookers",Situational Awareness,Irrelevant,canada_wildfires_2016
wildfire information alert issued for little smoky area residents. an evacuation notice has not been issued.,Situational Awareness,Critical Rescue,canada_wildfires_2016
fort mcmurray wildfire likely killed all wildlife in its path expert ymmfire abfire,Situational Awareness,Critical Rescue,canada_wildfires_2016
try to avoid human-caused forest fires,Situational Awareness,Irrelevant,canada_wildfires_2016
premier says she hopes to give more information to fort mcmurray residents on re-entry to evacuated areas within 2,Situational Awareness,Critical Rescue,canada_wildfires_2016
fellowship.ca - alberta wildfire relief,Situational Awareness,Volunteering and Donations,canada_wildfires_2016
feds and alberta reject international offers of firefighting assistance for fort mcmurray wildfire. ymmfire,Situational Awareness,Volunteering and Donations,canada_wildfires_2016
fort mcmurray wildfire nickelback to headline fire aid concert in edmonton reports ymm ymmfire,Situational Awareness,Volunteering and Donations,canada_wildfires_2016
"but trudeau says we dont need help, its under control ὡ5 fortmacfire cdnpoli abpoli",Situational Awareness,Irrelevant,canada_wildfires_2016
fort mcmurray wildfire temporary medical centre set up takes a closer look ymm ymmfire,Situational Awareness,Volunteering and Donations,canada_wildfires_2016
stomach bug doubles to 105 cases among fort mcmurray evacuees in edmonton photos they fled from a wildfire,Situational Awareness,Critical Rescue,canada_wildfires_2016
the bc wildfire service confirms crews are responding to a fire in the lac du bois area off of oconnor rd. kamloops,Situational Awareness,Volunteering and Donations,canada_wildfires_2016
"for anyone wondering whats being done in pincher creek for wildfire relief, the lions are leading the charge for",Situational Awareness,Volunteering and Donations,canada_wildfires_2016
update manitoba wildfires beresford caddylake put out by rain wilsonisland active,Situational Awareness,Irrelevant,canada_wildfires_2016
red cross to transfer 50-million to evacuees from fort mcmurray wildfire,Volunteering and Donations,Critical Rescue,canada_wildfires_2016
yeah it was! super amazing that each donut purchase goes to the wildfire damage. like aaaah and the donut is so pretty u,Volunteering and Donations,Irrelevant,canada_wildfires_2016
red cross sets up family reunification number for fort mcmurray wildfire evacuees 1-888-350-6070 ymmfire abfire,Volunteering and Donations,Critical Rescue,canada_wildfires_2016
thoughts and prayers?.. ok but how about texting redcross to 30333 to donate 5 for the unfortunate ppl of fortmcmurray wildfire canada,Volunteering and Donations,Irrelevant,canada_wildfires_2016
"russia says it will send water bombers to fight the flames, but canada hasnt said whether were goi via",Volunteering and Donations,Situational Awareness,canada_wildfires_2016
thank you for all of your alberta wildfire relief support! please see our facebook page for an update fortmcmurray,Volunteering and Donations,Irrelevant,canada_wildfires_2016
"a cold one, on us labatt breweries producing canned water for fort mcmurray evacuees yeg",Volunteering and Donations,Critical Rescue,canada_wildfires_2016
well deserved. the effort from emergency services is awe-inspiring. self care important to continue fight ymmfire,Volunteering and Donations,Situational Awareness,canada_wildfires_2016
alberta - what can be done to rescue abandoned pets? they need help. ymmfire,Volunteering and Donations,Resource Requests,canada_wildfires_2016
check out how a waterloo based tech company is helping assess wildfire damage in fort mcmurray.,Volunteering and Donations,Situational Awareness,canada_wildfires_2016
premier notley will update northern alberta wildfire and relief efforts at 11 a.m. fortmcmurray,Volunteering and Donations,Situational Awareness,canada_wildfires_2016
canadian authorities to airlift thousands trapped by wildfires worldnews actu,Volunteering and Donations,Situational Awareness,canada_wildfires_2016
"b.c. wildfire crosses into alberta, medical teams to help evacuees - surrey leader",Volunteering and Donations,Critical Rescue,canada_wildfires_2016
shows grace and resolve under pressure.,Volunteering and Donations,Irrelevant,canada_wildfires_2016
newsalert alberta to provide cash to evacuees massive convoy underway to move fort mcmurray wildfire evacuees,Volunteering and Donations,Critical Rescue,canada_wildfires_2016
"here is a comparison of the size of this out of control fire. please donate, the people need our help yymfire",Volunteering and Donations,Resource Requests,canada_wildfires_2016
celebs react to fortmacfire offers travel assistance for east coasters .,Volunteering and Donations,Situational Awareness,canada_wildfires_2016
fort mcmurray wildfire rages on. so close to my home. these people need support. please donateὤfἷe http,Volunteering and Donations,Irrelevant,canada_wildfires_2016
almost 5k buy tix for cape breton benefit for fort mac the concert in sydney for the people displaced by wildfire,Volunteering and Donations,Critical Rescue,canada_wildfires_2016
this is the best way to help. the red cross will ensure the right help will get to people in need. fortmacfire,Volunteering and Donations,Resource Requests,canada_wildfires_2016
